date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:27	67073/67073	U-----	200	untouched ('')	application/pdf	etag:%2281e1ca-10601-4bb2ed8fa1380%22	http://www.julius-berger.com/fileadmin/media/Docs/About_us/Primetech_Brochure_2012_web.pdf	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/media/Docs/About_us/Primetech_Brochure_2012_web.pdf	(from http://www.julius-berger.com/about-us/our-group/)
09:08:34	37738/37738	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:00%20GMT	http://www.julius-berger.com/uploads/pics/_0001_AEW2.JPG.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0001_AEW2.JPG.jpg	(from http://www.julius-berger.com/on-site/)
09:08:35	11844/11844	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:08:07%20GMT	http://www.julius-berger.com/about-us/our-group/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/our-group/index7b0e.html	(from http://www.julius-berger.com/about-us/our-group/)
09:08:40	132317/132317	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:07:51%20GMT	http://www.julius-berger.com/typo3temp/pics/_0000_AEW1.jpg_e2a3662509.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/_0000_AEW1.jpg_e2a3662509.jpg	(from http://www.julius-berger.com/on-site/)
09:08:41	26150/26150	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:41%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/1-3_infrastructure_landscape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-3_infrastructure_landscape.jpg	(from http://www.julius-berger.com/project-portfolio/infrastructure/)
09:08:49	46711/46711	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:13%20GMT	http://www.julius-berger.com/uploads/pics/_0002_AEW3.JPG.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0002_AEW3.JPG.jpg	(from http://www.julius-berger.com/on-site/)
09:08:49	42170/42170	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:46%20GMT	http://www.julius-berger.com/uploads/pics/1.3_Infrastructure_text_Opt_2.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/1.3_Infrastructure_text_Opt_2.jpg	(from http://www.julius-berger.com/project-portfolio/infrastructure/)
09:08:55	125135/125135	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:08%20GMT	http://www.julius-berger.com/typo3temp/pics/_0001_AEW2.JPG_fdb574673d.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/_0001_AEW2.JPG_fdb574673d.jpg	(from http://www.julius-berger.com/on-site/)
09:08:57	10743/10743	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:08:28%20GMT	http://www.julius-berger.com/project-portfolio/infrastructure/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/project-portfolio/infrastructure/index7b0e.html	(from http://www.julius-berger.com/project-portfolio/infrastructure/)
09:09:04	45745/45745	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:29%20GMT	http://www.julius-berger.com/uploads/pics/_0004_AEW5.JPG.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0004_AEW5.JPG.jpg	(from http://www.julius-berger.com/on-site/)
